0,10,15
1,97,119
2,356,430
3,8,12
4,8,12
5,67,83
6,75,93
7,5,9
8,29,37
9,47,59
10,7,11
11,8,12
12,2,5
13,3,6
14,98,120
15,6,10
16,7,11
17,4,7
18,7,11
19,3,6
20,10,15
21,88,108
22,77,95
23,5,9
24,54,67
25,14,19
26,7,11
27,5,9
28,5,9
29,10,15
30,82,101
31,87,107
32,80,99
33,3,6
34,5,9
35,32,41
36,13,18
37,3,6
38,7,11
39,86,106
40,21,28
41,9,13
42,8,12
43,92,113
44,3,6
45,10,15
46,9,13
47,7,11
48,93,114
49,39,49
50,74,91
51,2,5
52,9,13
53,61,76
54,7,11
55,5,9
56,3,6
57,6,10
58,2,5
59,2,5
60,93,114
61,10,15
62,41,52
63,5,9
64,5,9
65,10,15
66,65,81
67,2,5
68,10,15
69,78,96
70,4,7
71,53,66
72,6,10
73,48,60
74,2,5
75,4,7
76,6,10
77,8,12
78,99,121
79,2,5
80,2,5
81,5,9
82,10,15
83,2,5
84,6,10
85,2,5
86,6,10
87,2,5
88,94,115
89,3,6
90,9,13
91,10,15
92,7,11
93,8,12
94,4,7
95,9,13
96,2,5
97,3,6
98,75,93
99,10,15
100,9,13
101,7,11
102,9,13
103,2,5
104,11,16
105,9,13
106,8,12
107,7,11
108,10,15
109,2,5
110,4,7
111,86,106
112,34,43
113,36,46
114,8,12
115,4,7
116,5,9
117,54,67
118,78,96
119,88,108
120,39,49
121,10,15
122,18,24
123,83,102
124,7,11
125,6,10
126,7,11
127,23,30
128,90,111
129,45,57
130,2,5
131,16,22
132,4,7
133,81,100
134,8,12
135,9,13
136,8,12
137,59,73
138,5,9
139,3,6
140,49,61
141,37,47
142,13,18
143,56,70
144,10,15
145,8,12
146,76,94
147,8,12
148,3,6
149,4,7
150,88,108
151,2,5
152,3,6
153,6,10
154,5,9
155,6,10
156,4,7
157,64,79
158,10,15
159,86,106
160,9,13
161,3,6
162,8,12
163,38,48
164,15,21
165,83,102
166,5,9
167,10,15
168,2,5
169,69,85
170,2,5
171,9,13
172,4,7
173,9,13
174,10,15
175,27,35
176,83,102
177,7,11
178,6,10
179,9,13
180,4,7
181,50,63
182,10,15
183,83,102
184,6,10
185,7,11
186,9,13
187,62,77
188,82,101
189,2,5
190,7,11
191,8,12
192,2,5
193,4,7
194,4,7
195,8,12
196,2,5
197,3,6
198,6,10
199,67,83
200,90,111
201,6,10
202,15,21
203,2,5
204,9,13
205,87,107
206,7,11
207,4,7
208,10,15
209,3,6
210,10,15
211,43,54
212,53,66
213,8,12
214,6,10
215,3,6
216,8,12
217,9,13
218,3,6
219,2,5
220,7,11
221,6,10
222,36,46
223,3,6
224,2,5
225,7,11
226,88,108
227,9,13
228,2,5
229,79,97
230,19,25
231,4,7
232,2,5
233,100,123
234,9,13
235,7,11
236,6,10
237,4,7
238,7,11
239,4,7
240,6,10
241,6,10
242,7,11
243,14,19
244,14,19
245,8,12
246,82,101
247,28,36
248,53,66
249,6,10
250,98,120
251,8,12
252,4,7
253,41,52
254,84,103
255,10,15
256,64,79
257,4,7
258,2,5
259,9,13
260,76,94
261,7,11
262,8,12
263,56,70
264,22,29
265,61,76
266,4,7
267,2,5
268,57,71
269,12,17
270,5,9
271,35,45
272,92,113
273,88,108
274,9,13
275,2,5
276,90,111
277,5,9
278,4,7
279,10,15
280,79,97
281,3,6
282,4,7
283,8,12
284,7,11
285,9,13
286,3,6
287,70,87
288,7,11
289,6,10
290,4,7
291,7,11
292,5,9
293,3,6
294,45,57
295,5,9
296,92,113
297,56,70
298,5,9
299,22,29
300,9,13
301,4,7
302,7,11
303,4,7
304,6,10
305,90,111
306,10,15
307,10,15
308,3,6
309,8,12
310,9,13
311,8,12
312,8,12
313,10,15
314,2,5
315,29,37
316,9,13
317,9,13
318,9,13
319,8,12
320,69,85
321,6,10
322,9,13
323,3,6
324,96,118
325,97,119
326,30,39
327,84,103
328,10,15
329,82,101
330,2,5
331,2,5
332,3,6
333,51,64
334,9,13
335,37,47
336,6,10
337,18,24
338,4,7
339,2,5
340,42,53
341,46,58
342,2,5
343,2,5
344,3,6
345,4,7
346,93,114
347,2,5
348,74,91
349,8,12
350,3,6
351,48,60
352,9,13
353,9,13
354,4,7
355,85,105
356,8,12
357,48,60
358,8,12
359,6,10
360,94,115
361,2,5
362,9,13
363,10,15
364,6,10
365,6,10
366,7,11
367,9,13
368,2,5
369,8,12
370,6,10
371,21,28
372,3,6
373,36,46
374,41,52
375,9,13
376,83,102
377,4,7
378,5,9
379,31,40
380,8,12
381,23,30
382,9,13
383,49,61
384,66,82
385,4,7
386,801,964
387,4,7
388,6,10
389,6,10
390,10,15
391,58,72
392,42,53
393,81,100
394,6,10
395,2,5
396,42,53
397,32,41
398,7,11
399,9,13
400,50,63
401,97,119
402,37,47
403,7,11
404,9,13
405,4,7
406,78,96
407,6,10
408,5,9
409,7,11
410,9,13
411,2,5
412,5,9
413,61,76
414,2,5
415,58,72
416,50,63
417,33,42
418,5,9
419,4,7
420,73,90
421,2,5
422,3,6
423,8,12
424,8,12
425,73,90
426,6,10
427,2,5
428,6,10
429,96,118
430,10,15
431,9,13
432,8,12
433,4,7
434,96,118
435,58,72
436,9,13
437,38,48
438,45,57
439,55,69
440,41,52
441,9,13
442,134,163
443,3,6
444,341,412
445,3,6
446,9,13
447,2,5
448,42,53
449,9,13
450,8,12
451,69,85
452,72,89
453,5,9
454,100,123
455,7,11
456,60,75
457,85,105
458,3,6
459,7,11
460,6,10
461,9,13
462,3,6
463,4,7
464,317,383
465,81,100
466,7,11
467,3,6
468,6,10
469,6,10
470,2,5
471,76,94
472,60,75
473,90,111
474,4,7
475,3,6
476,4,7
477,7,11
478,58,72
479,24,31
480,5,9
481,16,22
482,9,13
483,5,9
484,2,5
485,5,9
486,6,10
487,10,15
488,10,15
489,7,11
490,8,12
491,10,15
492,10,15
493,9,13
494,6,10
495,7,11
496,4,7
497,67,83
498,56,70
499,4,7
500,59,73
501,52,65
502,37,47
503,9,13
504,3,6
505,3,6
506,10,15
507,39,49
508,4,7
509,5,9
510,12,17
511,9,13
512,5,9
513,2,5
514,4,7
515,7,11
516,10,15
517,7,11
518,5,9
519,9,13
520,96,118
521,8,12
522,5,9
523,5,9
524,5,9
525,7,11
526,55,69
527,7,11
528,6,10
529,7,11
530,8,12
531,33,42
532,2,5
533,46,58
534,5,9
535,8,12
536,68,84
537,65,81
538,7,11
539,6,10
540,10,15
541,7,11
542,6,10
543,51,64
544,4,7
545,2,5
546,7,11
547,5,9
548,2,5
549,4,7
550,6,10
551,10,15
552,93,114
553,7,11
554,10,15
555,8,12
556,2,5
557,7,11
558,2,5
559,3,6
560,10,15
561,6,10
562,4,7
563,9,13
564,6,10
565,4,7
566,7,11
567,34,43
568,5,9
569,6,10
570,5,9
571,7,11
572,2,5
573,34,43
574,6,10
575,5,9
576,8,12
577,71,88
578,4,7
579,8,12
580,4,7
581,82,101
582,8,12
583,8,12
584,2,5
585,9,13
586,2,5
587,21,28
588,3,6
589,10,15
590,8,12
591,8,12
592,30,39
593,66,82
594,7,11
595,3,6
596,8,12
597,7,11
598,8,12
599,81,100
600,10,15
601,9,13
602,75,93
603,9,13
604,8,12
605,66,82
606,7,11
607,40,51
608,7,11
609,2,5
610,3,6
611,259,313
612,7,11
613,9,13
614,3,6
615,6,10
616,34,43
617,7,11
618,8,12
619,3,6
620,36,46
621,65,81
622,35,45
623,7,11
624,7,11
625,34,43
626,576,694
627,4,7
628,4,7
629,5,9
630,3,6
631,10,15
632,9,13
633,3,6
634,61,76
635,3,6
636,5,9
637,3,6
638,97,119
639,39,49
640,68,84
641,29,37
642,8,12
643,8,12
644,8,12
645,10,15
646,59,73
647,9,13
648,9,13
649,17,23
650,6,10
651,10,15
652,9,13
653,89,109
654,10,15
655,9,13
656,87,107
657,4,7
658,10,15
659,10,15
660,75,93
661,41,52
662,24,31
663,4,7
664,5,9
665,4,7
666,73,90
667,3,6
668,2,5
669,11,16
670,10,15
671,69,85
672,92,113
673,7,11
674,5,9
675,10,15
676,89,109
677,15,21
678,8,12
679,96,118
680,3,6
681,29,37
682,4,7
683,19,25
684,6,10
685,89,109
686,6,10
687,26,34
688,96,118
689,2,5
690,67,83
691,9,13
692,2,5
693,9,13
694,5,9
695,7,11
696,76,94
697,67,83
698,10,15
699,32,41
700,4,7
701,100,123
702,2,5
703,3,6
704,2,5
705,2,5
706,22,29
707,8,12
708,2,5
709,3,6
710,3,6
711,9,13
712,5,9
713,2,5
714,86,106
715,9,13
716,10,15
717,7,11
718,3,6
719,25,33
720,2,5
721,62,77
722,6,10
723,57,71
724,73,90
725,3,6
726,7,11
727,8,12
728,9,13
729,9,13
730,6,10
731,10,15
732,13,18
733,7,11
734,9,13
735,10,15
736,2,5
737,7,11
738,25,33
739,2,5
740,72,89
741,4,7
742,3,6
743,67,83
744,76,94
745,14,19
746,47,59
747,39,49
748,54,67
749,5,9
750,52,65
751,6,10
752,6,10
753,18,24
754,9,13
755,8,12
756,994,1195
757,3,6
758,3,6
759,719,865
760,7,11
761,10,15
762,95,117
763,4,7
764,2,5
765,10,15
766,5,9
767,10,15
768,5,9
769,90,111
770,7,11
771,2,5
772,10,15
773,34,43
774,5,9
775,10,15
776,10,15
777,2,5
778,8,12
779,4,7
780,3,6
781,2,5
782,8,12
783,60,75
784,5,9
785,10,15
786,3,6
787,4,7
788,6,10
789,3,6
790,7,11
791,76,94
792,19,25
793,10,15
794,11,16
795,3,6
796,5,9
797,9,13
798,5,9
799,50,63
800,4,7
801,4,7
802,3,6
803,9,13
804,10,15
805,75,93
806,64,79
807,3,6
808,27,35
809,4,7
810,8,12
811,7,11
812,9,13
813,5,9
814,99,121
815,6,10
816,57,71
817,67,83
818,6,10
819,10,15
820,5,9
821,8,12
822,82,101
823,99,121
824,38,48
825,70,87
826,5,9
827,10,15
828,6,10
829,10,15
830,96,118
831,28,36
832,20,27
833,100,123
834,15,21
835,3,6
836,3,6
837,9,13
838,3,6
839,7,11
840,53,66
841,96,118
842,54,67
843,91,112
844,4,7
845,20,27
846,3,6
847,5,9
848,2,5
849,39,49
850,80,99
851,5,9
852,23,30
853,8,12
854,36,46
855,95,117
856,9,13
857,62,77
858,2,5
859,7,11
860,2,5
861,8,12
862,7,11
863,2,5
864,8,12
865,9,13
866,3,6
867,3,6
868,8,12
869,54,67
870,4,7
871,9,13
872,43,54
873,5,9
874,57,71
875,2,5
876,3,6
877,8,12
878,8,12
879,98,120
880,15,21
881,6,10
882,3,6
883,67,83
884,50,63
885,32,41
886,23,30
887,5,9
888,5,9
889,4,7
890,5,9
891,88,108
892,12,17
893,7,11
894,37,47
895,3,6
896,8,12
897,38,48
898,10,15
899,10,15
900,4,7
901,34,43
902,6,10
903,47,59
904,6,10
905,7,11
906,3,6
907,83,102
908,7,11
909,3,6
910,2,5
911,7,11
912,12,17
913,3,6
914,10,15
915,10,15
916,4,7
917,5,9
918,2,5
919,7,11
920,6,10
921,81,100
922,3,6
923,7,11
924,83,102
925,97,119
926,8,12
927,7,11
928,10,15
929,7,11
930,13,18
931,24,31
932,10,15
933,10,15
934,9,13
935,8,12
936,9,13
937,6,10
938,3,6
939,6,10
940,27,35
941,4,7
942,28,36
943,8,12
944,5,9
945,5,9
946,4,7
947,7,11
948,7,11
949,5,9
950,3,6
951,4,7
952,66,82
953,12,17
954,221,268
955,38,48
956,7,11
957,54,67
958,89,109
959,27,35
960,2,5
961,4,7
962,62,77
963,28,36
964,9,13
965,21,28
966,5,9
967,37,47
968,7,11
969,11,16
970,9,13
971,6,10
972,34,43
973,5,9
974,9,13
975,5,9
976,47,59
977,10,15
978,15,21
979,91,112
980,2,5
981,9,13
982,85,105
983,10,15
984,5,9
985,2,5
986,3,6
987,10,15
988,15,21
989,10,15
990,9,13
991,2,5
992,6,10
993,2,5
994,93,114
995,85,105
996,7,11
997,3,6
998,67,83
999,5,9
